x;y;z
12.0650962414936;54.1785274846387;-1.03
12.0651294556332;54.17897622368;-1.25
12.0651626706798;54.1794249626737;-2.92
12.0651958866333;54.1798737016198;-2.78
12.0652291034938;54.1803224405184;-3.1
12.0652623212613;54.1807711793695;-3.58
12.0652955399358;54.1812199181729;-3
12.0653287595175;54.1816686569288;-2.92
12.0653619800062;54.1821173956371;-3.9
12.0653952014021;54.1825661342979;-4.93
12.0654284237052;54.1830148729111;-5.05
12.0654616469155;54.1834636114768;-5.31
12.0654948710331;54.1839123499948;-5.49
12.065528096058;54.1843610884653;-5.87
12.0655613219901;54.1848098268883;-6.17
12.0655945488297;54.1852585652637;-6.24
12.0656277765766;54.1857073035915;-6.49
12.0656610052309;54.1861560418717;-6.48
12.0656942347927;54.1866047801044;-6.6
12.065727465262;54.1870535182895;-7.01
12.0657606966388;54.187502256427;-7.28
12.0657939289231;54.187950994517;-7.74
12.065827162115;54.1883997325594;-7.96
12.0658603962146;54.1888484705542;-8.33
12.0658936312218;54.1892972085015;-8.65
12.0659268671367;54.1897459464012;-8.75
12.0659601039593;54.1901946842533;-8.96
12.0659933416897;54.1906434220579;-9.12
12.0660265803279;54.1910921598148;-9.14
12.0660598198738;54.1915408975242;-9.02
12.0660930603277;54.1919896351861;-9.15
12.0661263016894;54.1924383728003;-9.32
12.0661595439591;54.192887110367;-9.57
12.0661927871367;54.1933358478862;-9.56
12.0662260312223;54.1937845853577;-9.69
12.0662592762159;54.1942333227817;-9.83
12.0662925221176;54.1946820601581;-10
12.0663257689273;54.1951307974869;-10.02
12.0663590166452;54.1955795347682;-10.1
12.0663922652713;54.1960282720018;-10.2
12.0664255148055;54.1964770091879;-10.28
12.066458765248;54.1969257463265;-10.32
12.0664920165987;54.1973744834174;-10.4
12.0665252688577;54.1978232204608;-10.36
12.0665585220251;54.1982719574566;-10.47
12.0665917761008;54.1987206944048;-10.56
12.0666250310848;54.1991694313054;-10.7
12.0666582869774;54.1996181681585;-10.68
12.0666915437783;54.200066904964;-10.67
12.0667248014878;54.2005156417219;-10.55
12.0667580601058;54.2009643784322;-10.66
12.0667913196323;54.201413115095;-10.69
12.0668245800675;54.2018618517101;-10.64
12.0668578414113;54.2023105882777;-10.71
12.0668911036637;54.2027593247978;-10.71
12.0669243668248;54.2032080612702;-10.83
12.0669576308947;54.203656797695;-11.19
12.0669908958733;54.2041055340723;-11.32
12.0670241617607;54.204554270402;-11.44
12.0670574285569;54.2050030066841;-11.53
12.067090696262;54.2054517429186;-11.5
12.067123964876;54.2059004791056;-11.26
12.067157234399;54.2063492152449;-11.32
12.0671905048309;54.2067979513367;-11.4
12.0672237761717;54.2072466873809;-11.41
12.0672570484217;54.2076954233775;-11.33
12.0672903215806;54.2081441593265;-11.43
12.0673235956487;54.208592895228;-11.47
12.0673568706259;54.2090416310818;-11.48
12.0673901465123;54.2094903668881;-11.41
12.0674234233078;54.2099391026468;-11.51
12.0674567010126;54.2103878383579;-11.32
12.0674899796267;54.2108365740214;-11.52
12.0675232591501;54.2112853096373;-11.58
12.0675565395828;54.2117340452056;-11.83
12.0675898209248;54.2121827807264;-11.63
12.0676231031763;54.2126315161996;-11.86
12.0676563863372;54.2130802516251;-11.78
12.0676896704075;54.2135289870031;-11.94
12.0677229553874;54.2139777223335;-11.8
12.0677562412768;54.2144264576163;-11.85
12.0677895280757;54.2148751928516;-11.83
12.0678228157843;54.2153239280392;-11.68
12.0678561044025;54.2157726631792;-11.54
12.0678893939304;54.2162213982716;-11.8
12.0679226843679;54.2166701333165;-11.75
12.0679559757152;54.2171188683138;-11.82
12.0679892679723;54.2175676032634;-11.91
12.0680225611392;54.2180163381655;-12
12.0680558552159;54.21846507302;-12
12.0680891502024;54.2189138078269;-11.98
12.0681224460989;54.2193625425862;-11.8
12.0681557429053;54.2198112772979;-12.1
12.0681890406217;54.220260011962;-11.9
12.0682223392481;54.2207087465786;-12.31
12.0682556387845;54.2211574811475;-12.45
12.068288939231;54.2216062156688;-12.87
12.0683222405876;54.2220549501425;-13.24
12.0683555428544;54.2225036845687;-13.54
12.0683888460313;54.2229524189472;-13.45
12.0684221501184;54.2234011532782;-13.69
12.0684554551158;54.2238498875615;-13.45
12.0684887610234;54.2242986217973;-13.59
12.0685220678414;54.2247473559854;-13.56
12.0685553755697;54.225196090126;-13.3
12.0685886842083;54.225644824219;-13.21
12.0686219937574;54.2260935582643;-13.3
12.0686553042169;54.2265422922621;-13.3
12.0686886155869;54.2269910262123;-13.01
12.0687219278674;54.2274397601148;-12.81
12.0687552410584;54.2278884939698;-12.72
12.06878855516;54.2283372277772;-12.59
12.0688218701722;54.2287859615369;-12.56
12.0688551860951;54.2292346952491;-12.59
12.0688885029286;54.2296834289137;-12.56
12.0689218206729;54.2301321625306;-12.53
12.0689551393279;54.2305808961;-12.39
12.0689884588937;54.2310296296218;-12.17
12.0690217793702;54.2314783630959;-12.16
12.0690551007577;54.2319270965225;-12.18
12.069088423056;54.2323758299014;-12.65
12.0691217462652;54.2328245632328;-12.91
12.0691550703854;54.2332732965165;-12.87
12.0691883954165;54.2337220297526;-12.72
12.0692217213587;54.2341707629412;-12.8
12.0692550482119;54.2346194960821;-12.98
12.0692883759762;54.2350682291754;-12.96
12.0693217046516;54.2355169622211;-13.03
12.0693550342382;54.2359656952193;-13.26
12.0693883647359;54.2364144281698;-13.54
12.0694216961449;54.2368631610726;-13.64
12.0694550284651;54.2373118939279;-13.72
12.0694883616966;54.2377606267356;-13.77
12.0695216958394;54.2382093594957;-13.8
12.0695550308935;54.2386580922082;-13.8
12.0695883668591;54.239106824873;-13.8
12.069621703736;54.2395555574903;-13.76
12.0696550415244;54.2400042900599;-13.67
12.0696883802243;54.2404530225819;-13.56
12.0697217198357;54.2409017550564;-13.51
12.0697550603587;54.2413504874832;-13.54
12.0697884017933;54.2417992198624;-13.54
12.0698217441394;54.242247952194;-13.41
12.0698550873973;54.242696684478;-13.3
12.0698884315668;54.2431454167143;-13.42
12.069921776648;54.2435941489031;-13.51
12.069955122641;54.2440428810442;-13.41
12.0699884695458;54.2444916131377;-13.44
12.0700218173624;54.2449403451837;-13.58
12.0700551660909;54.245389077182;-13.77
12.0700885157312;54.2458378091327;-13.89
12.0701218662835;54.2462865410357;-13.87
12.0701552177477;54.2467352728912;-13.77
12.070188570124;54.247184004699;-13.65
12.0702219234122;54.2476327364593;-13.6
12.0702552776125;54.2480814681719;-13.56
12.0702886327249;54.2485301998369;-13.49
12.0703219887494;54.2489789314543;-13.44
12.0703553456861;54.249427663024;-13.42
12.070388703535;54.2498763945462;-13.41
12.0704220622961;54.2503251260207;-13.28
12.0704554219695;54.2507738574476;-13.01
12.0704887825551;54.2512225888269;-12.89
12.0705221440531;54.2516713201586;-12.9
12.0705555064635;54.2521200514426;-13.03
12.0705888697862;54.2525687826791;-12.99
12.0706222340214;54.2530175138679;-12.66
12.0706555991691;54.2534662450091;-12.42
12.0706889652292;54.2539149761027;-12.58
12.0707223322019;54.2543637071486;-12.91
12.0707557000871;54.254812438147;-12.89
12.070789068885;54.2552611690977;-12.78
12.0708224385954;54.2557099000008;-12.6
12.0708558092186;54.2561586308563;-12.47
12.0708891807544;54.2566073616641;-12.42
12.070922553203;54.2570560924243;-12.34
12.0709559265643;54.257504823137;-12.23
12.0709893008384;54.2579535538019;-12.25
12.0710226760254;54.2584022844193;-12.28
12.0710560521252;54.258851014989;-12.3
12.071089429138;54.2592997455111;-12.44
12.0711228070637;54.2597484759856;-12.6
12.0711561859023;54.2601972064125;-12.72
12.071189565654;54.2606459367917;-12.81
12.0712229463187;54.2610946671233;-13.07
12.0712563278964;54.2615433974073;-13.11
12.0712897103873;54.2619921276436;-12.99
12.0713230937913;54.2624408578324;-12.86
12.0713564781085;54.2628895879735;-12.91
12.0658944299886;54.1789567373647;-1.26
12.0659276532931;54.1794054760388;-2.44
12.0659608775047;54.1798542146653;-2.64
12.0659941026236;54.1803029532442;-3.47
12.0660273286497;54.1807516917755;-3.82
12.066060555583;54.1812004302593;-2.79
12.0660937834237;54.1816491686955;-2.99
12.0661270121717;54.1820979070842;-4.21
12.0661602418271;54.1825466454252;-4.76
12.06619347239;54.1829953837187;-5.04
12.0662267038602;54.1834441219646;-5.31
12.0662599362379;54.183892860163;-5.54
12.0662931695232;54.1843415983138;-5.82
12.066326403716;54.184790336417;-6.46
12.0663596388163;54.1852390744726;-6.61
12.0663928748243;54.1856878124807;-6.63
12.0664261117399;54.1861365504411;-6.48
12.0664593495632;54.186585288354;-6.66
12.0664925882942;54.1870340262194;-6.77
12.066525827933;54.1874827640371;-7.16
12.0665590684795;54.1879315018073;-7.69
12.0665923099339;54.1883802395299;-7.97
12.0666255522961;54.188828977205;-8.18
12.0666587955661;54.1892777148324;-8.29
12.0666920397441;54.1897264524123;-8.6
12.06672528483;54.1901751899446;-8.9
12.0667585308239;54.1906239274293;-9
12.0667917777259;54.1910726648665;-8.96
12.0668250255358;54.191521402256;-9.09
12.0668582742539;54.191970139598;-9.13
12.06689152388;54.1924188768924;-9.38
12.0669247744144;54.1928676141393;-9.54
12.0669580258568;54.1933163513385;-9.58
12.0669912782075;54.1937650884902;-9.77
12.0670245314665;54.1942138255943;-9.89
12.0670577856337;54.1946625626508;-10
12.0670910407093;54.1951112996597;-10.03
12.0671242966932;54.1955600366211;-10.07
12.0671575535855;54.1960087735348;-10.18
12.0671908113861;54.196457510401;-9.98
12.0672240700953;54.1969062472196;-10.01
12.0672573297129;54.1973549839906;-10.22
12.0672905902391;54.1978037207141;-10.27
12.0673238516737;54.1982524573899;-10.38
12.067357114017;54.1987011940182;-10.51
12.0673903772689;54.1991499305989;-10.69
12.0674236414295;54.199598667132;-10.69
12.0674569064987;54.2000474036175;-10.69
12.0674901724766;54.2004961400554;-10.72
12.0675234393633;54.2009448764458;-10.7
12.0675567071588;54.2013936127885;-10.64
12.0675899758631;54.2018423490837;-10.6
12.0676232454763;54.2022910853313;-10.55
12.0676565159983;54.2027398215313;-10.65
12.0676897874292;54.2031885576837;-10.89
12.0677230597692;54.2036372937885;-11.08
12.067756333018;54.2040860298457;-11.35
12.067789607176;54.2045347658554;-11.44
12.0678228822429;54.2049835018175;-11.47
12.067856158219;54.2054322377319;-11.38
12.0678894351041;54.2058809735988;-11.33
12.0679227128985;54.2063297094181;-11.4
12.067955991602;54.2067784451898;-11.36
12.0679892712147;54.2072271809139;-11.31
12.0680225517367;54.2076759165904;-11.33
12.068055833168;54.2081246522193;-11.56
12.0680891155086;54.2085733878007;-11.37
12.0681223987585;54.2090221233344;-11.39
12.0681556829179;54.2094708588206;-11.38
12.0681889679867;54.2099195942591;-11.57
12.0682222539649;54.2103683296501;-11.62
12.0682555408526;54.2108170649935;-11.7
12.0682888286498;54.2112658002893;-11.86
12.0683221173566;54.2117145355374;-12.03
12.068355406973;54.212163270738;-12.06
12.068388697499;54.212612005891;-12
12.0684219889347;54.2130607409964;-11.96
12.0684552812801;54.2135094760542;-11.99
12.0684885745351;54.2139582110645;-11.89
12.0685218687;54.214406946027;-11.87
12.0685551637746;54.2148556809421;-11.95
12.0685884597591;54.2153044158095;-11.93
12.0686217566534;54.2157531506293;-11.84
12.0686550544576;54.2162018854015;-11.88
12.0686883531717;54.2166506201262;-11.61
12.0687216527959;54.2170993548032;-11.77
12.0687549533299;54.2175480894326;-11.78
12.0687882547741;54.2179968240145;-11.88
12.0688215571283;54.2184455585487;-11.72
12.0688548603925;54.2188942930353;-11.82
12.0688881645669;54.2193430274744;-11.78
12.0689214696515;54.2197917618658;-12.21
12.0689547756463;54.2202404962096;-12.51
12.0689880825513;54.2206892305059;-12.98
12.0690213903665;54.2211379647545;-13.41
12.0690546990921;54.2215866989555;-13.5
12.069088008728;54.2220354331089;-13.51
12.0691213192742;54.2224841672148;-13.6
12.0691546307309;54.222932901273;-13.6
12.0691879430979;54.2233816352836;-13.54
12.0692212563755;54.2238303692466;-13.49
12.0692545705635;54.224279103162;-13.58
12.0692878856621;54.2247278370298;-13.59
12.0693212016712;54.22517657085;-13.34
12.069354518591;54.2256253046226;-13.46
12.0693878364214;54.2260740383476;-12.95
12.0694211551624;54.226522772025;-12.56
12.0694544748141;54.2269715056548;-12.33
12.0694877953766;54.227420239237;-12.16
12.0695211168499;54.2278689727715;-12.22
12.0695544392339;54.2283177062585;-12.16
12.0695877625288;54.2287664396978;-12.23
12.0696210867345;54.2292151730896;-12.36
12.0696544118512;54.2296639064337;-12.24
12.0696877378788;54.2301126397302;-12.11
12.0697210648173;54.2305613729792;-12.06
12.0697543926669;54.2310101061805;-12.05
12.0697877214275;54.2314588393342;-12.18
12.0698210510992;54.2319075724403;-12.36
12.0698543816819;54.2323563054987;-12.5
12.0698877131758;54.2328050385096;-12.57
12.0699210455809;54.2332537714729;-12.57
12.0699543788972;54.2337025043885;-12.53
12.0699877131247;54.2341512372566;-12.65
12.0700210482635;54.234599970077;-12.8
12.0700543843136;54.2350487028498;-12.88
12.0700877212751;54.235497435575;-12.97
12.0701210591479;54.2359461682526;-13.2
12.0701543979321;54.2363949008825;-13.46
12.0701877376278;54.2368436334649;-13.49
12.070221078235;54.2372923659997;-13.54
12.0702544197536;54.2377410984868;-13.58
12.0702877621838;54.2381898309263;-13.63
12.0703211055256;54.2386385633182;-13.72
12.070354449779;54.2390872956625;-13.81
12.070387794944;54.2395360279592;-13.71
12.0704211410207;54.2399847602082;-13.57
12.0704544880091;54.2404334924096;-13.49
12.0704878359093;54.2408822245635;-13.45
12.0705211847212;54.2413309566697;-13.5
12.070554534445;54.2417796887283;-13.5
12.0705878850806;54.2422284207392;-13.33
12.0706212366281;54.2426771527026;-13.16
12.0706545890875;54.2431258846183;-13.29
12.0706879424588;54.2435746164864;-13.48
12.0707212967421;54.2440233483069;-13.48
12.0707546519374;54.2444720800798;-13.48
12.0707880080448;54.244920811805;-13.59
12.0708213650643;54.2453695434827;-13.75
12.0708547229959;54.2458182751127;-13.89
12.0708880818396;54.246267006695;-13.87
12.0709214415955;54.2467157382298;-13.77
12.0709548022637;54.247164469717;-13.63
12.070988163844;54.2476132011565;-13.58
12.0710215263367;54.2480619325484;-13.59
12.0710548897417;54.2485106638927;-13.48
12.071088254059;54.2489593951893;-13.36
12.0711216192887;54.2494081264383;-13.3
12.0711549854309;54.2498568576398;-13.24
12.0711883524855;54.2503055887936;-13.09
12.0712217204525;54.2507543198997;-12.87
12.0712550893322;54.2512030509583;-12.74
12.0712884591243;54.2516517819692;-12.71
12.071321829829;54.2521005129324;-12.83
12.0713552014464;54.2525492438481;-12.76
12.0713885739764;54.2529979747161;-12.54
12.0714219474191;54.2534467055365;-12.42
12.0714553217746;54.2538954363093;-12.56
12.0714886970428;54.2543441670345;-12.81
12.0715220732238;54.254792897712;-12.81
12.0715554503176;54.2552416283419;-12.67
12.0715888283242;54.2556903589241;-12.57
12.0716222072438;54.2561390894588;-12.5
12.0716555870763;54.2565878199458;-12.48
12.0716889678217;54.2570365503852;-12.29
12.0717223494801;54.2574852807769;-12.18
12.0717557320516;54.257934011121;-12.23
12.0717891155361;54.2583827414175;-12.27
12.0718224999337;54.2588314716664;-12.29
12.0718558852445;54.2592802018676;-12.38
12.0718892714684;54.2597289320212;-12.5
12.0719226586055;54.2601776621271;-12.63
12.0719560466558;54.2606263921855;-12.82
12.0719894356194;54.2610751221962;-12.97
12.0720228254963;54.2615238521592;-12.99
12.0720562162866;54.2619725820746;-12.89
12.0720896079901;54.2624213119424;-12.82
12.0721230006071;54.2628700417626;-12.91
12.0666594034368;54.1789372461962;-1.12
12.0666926349992;54.1793859845505;-2.2
12.0667258674689;54.1798347228572;-3.1
12.0667591008461;54.1802834611164;-3.32
12.0667923351308;54.180732199328;-3.82
12.0668255703229;54.181180937492;-3.23
12.0668588064226;54.1816296756084;-2.8
12.0668920434299;54.1820784136773;-4.12
12.0669252813448;54.1825271516986;-4.66
12.0669585201672;54.1829758896723;-4.88
12.0669917598974;54.1834246275984;-5.03
12.0670250005353;54.183873365477;-5.64
12.0670582420809;54.1843221033079;-5.5
12.0670914845342;54.1847708410913;-6.32
12.0671247278954;54.1852195788271;-6.7
12.0671579721644;54.1856683165154;-6.74
12.0671912173413;54.186117054156;-6.85
12.0672244634261;54.1865657917491;-6.98
12.0672577104188;54.1870145292946;-7.16
12.0672909583194;54.1874632667925;-7.44
12.0673242071281;54.1879120042428;-7.71
12.0673574568449;54.1883607416455;-8.05
12.0673907074696;54.1888094790006;-8.1
12.0674239590025;54.1892582163082;-8.1
12.0674572114436;54.1897069535682;-8.24
12.0674904647928;54.1901556907806;-8.75
12.0675237190502;54.1906044279454;-8.98
12.0675569742158;54.1910531650627;-8.95
12.0675902302897;54.1915019021323;-8.96
12.067623487272;54.1919506391544;-9.2
12.0676567451625;54.1923993761288;-9.42
12.0676900039615;54.1928481130557;-9.67
12.0677232636688;54.193296849935;-9.6
12.0677565242846;54.1937455867667;-9.73
12.0677897858088;54.1941943235509;-9.86
12.0678230482416;54.1946430602874;-9.93
12.0678563115829;54.1950917969764;-9.9
12.0678895758327;54.1955405336177;-9.91
12.0679228409912;54.1959892702115;-10
12.0679561070583;54.1964380067577;-10.04
12.0679893740341;54.1968867432563;-10.2
12.0680226419186;54.1973354797073;-10.18
12.0680559107118;54.1977842161107;-10.11
12.0680891804139;54.1982329524665;-10.29
12.0681224510247;54.1986816887748;-10.38
12.0681557225443;54.1991304250354;-10.59
12.0681889949729;54.1995791612485;-10.58
12.0682222683103;54.200027897414;-10.53
12.0682555425567;54.2004766335318;-10.47
12.0682888177121;54.2009253696021;-10.52
12.0683220937764;54.2013741056248;-10.55
12.0683553707499;54.2018228415999;-10.48
12.0683886486324;54.2022715775274;-10.51
12.068421927424;54.2027203134073;-10.54
12.0684552071247;54.2031690492396;-10.62
12.0684884877346;54.2036177850243;-10.85
12.0685217692538;54.2040665207614;-11.04
12.0685550516822;54.204515256451;-11.27
12.0685883350198;54.2049639920929;-11.24
12.0686216192668;54.2054127276872;-11.16
12.0686549044231;54.205861463234;-11.37
12.0686881904888;54.2063101987331;-11.41
12.0687214774639;54.2067589341847;-11.42
12.0687547653484;54.2072076695886;-11.16
12.0687880541425;54.2076564049449;-11.41
12.068821343846;54.2081051402537;-11.5
12.0688546344591;54.2085538755149;-11.29
12.0688879259818;54.2090026107284;-11.41
12.0689212184141;54.2094513458944;-11.47
12.068954511756;54.2099000810127;-11.67
12.0689878060076;54.2103488160835;-11.69
12.069021101169;54.2107975511066;-12.07
12.06905439724;54.2112462860822;-12.01
12.0690876942209;54.2116950210101;-12.12
12.0691209921116;54.2121437558905;-12.08
12.0691542909121;54.2125924907232;-12.16
12.0691875906225;54.2130412255084;-11.89
12.0692208912429;54.2134899602459;-12.11
12.0692541927731;54.2139386949359;-12.06
12.0692874952134;54.2143874295782;-12.23
12.0693207985637;54.214836164173;-12.25
12.069354102824;54.2152848987201;-12.11
12.0693874079944;54.2157336332196;-11.89
12.0694207140749;54.2161823676715;-11.81
12.0694540210656;54.2166311020759;-11.59
12.0694873289665;54.2170798364326;-11.6
12.0695206377776;54.2175285707417;-11.61
12.0695539474989;54.2179773050032;-11.8
12.0695872581306;54.2184260392171;-11.81
12.0696205696725;54.2188747733834;-12.1
12.0696538821248;54.2193235075021;-12.55
12.0696871954875;54.2197722415731;-13.14
12.0697205097606;54.2202209755966;-13.4
12.0697538249442;54.2206697095725;-13.58
12.0697871410382;54.2211184435007;-13.5
12.0698204580428;54.2215671773814;-13.48
12.0698537759579;54.2220159112144;-13.48
12.0698870947837;54.2224646449998;-13.53
12.06992041452;54.2229133787377;-13.67
12.069953735167;54.2233621124279;-13.62
12.0699870567247;54.2238108460705;-13.58
12.0700203791931;54.2242595796654;-13.53
12.0700537025723;54.2247083132128;-13.38
12.0700870268622;54.2251570467126;-12.9
12.070120352063;54.2256057801647;-12.59
12.0701536781747;54.2260545135693;-12.44
12.0701870051972;54.2265032469262;-12.18
12.0702203331307;54.2269519802355;-11.99
12.0702536619751;54.2274007134972;-11.83
12.0702869917305;54.2278494467113;-11.84
12.070320322397;54.2282981798778;-11.82
12.0703536539745;54.2287469129966;-11.89
12.0703869864631;54.2291956460679;-12
12.0704203198628;54.2296443790915;-11.92
12.0704536541737;54.2300931120675;-11.73
12.0704869893958;54.2305418449959;-11.88
12.0705203255291;54.2309905778767;-11.97
12.0705536625737;54.2314393107098;-12.17
12.0705870005295;54.2318880434954;-12.45
12.0706203393967;54.2323367762333;-12.45
12.0706536791753;54.2327855089236;-12.39
12.0706870198653;54.2332342415663;-12.41
12.0707203614666;54.2336829741614;-12.42
12.0707537039795;54.2341317067089;-12.53
12.0707870474039;54.2345804392087;-12.69
12.0708203917397;54.2350291716609;-12.82
12.0708537369872;54.2354779040655;-12.93
12.0708870831463;54.2359266364225;-13.05
12.0709204302169;54.2363753687319;-13.16
12.0709537781993;54.2368241009936;-13.3
12.0709871270934;54.2372728332077;-13.4
12.0710204768992;54.2377215653742;-13.44
12.0710538276167;54.2381702974931;-13.45
12.0710871792461;54.2386190295644;-13.61
12.0711205317873;54.239067761588;-13.86
12.0711538852403;54.239516493564;-13.74
12.0711872396053;54.2399652254924;-13.63
12.0712205948822;54.2404139573732;-13.55
12.0712539510711;54.2408626892063;-13.47
12.071287308172;54.2413114209918;-13.44
12.0713206661849;54.2417601527297;-13.36
12.0713540251099;54.24220888442;-13.3
12.071387384947;54.2426576160626;-13.28
12.0714207456962;54.2431063476576;-13.39
12.0714541073576;54.243555079205;-13.55
12.0714874699312;54.2440038107048;-13.42
12.0715208334171;54.2444525421569;-13.41
12.0715541978152;54.2449012735614;-13.49
12.0715875631256;54.2453500049183;-13.62
12.0716209293484;54.2457987362275;-13.73
12.0716542964835;54.2462474674892;-13.72
12.0716876645311;54.2466961987032;-13.62
12.0717210334911;54.2471449298695;-13.47
12.0717544033636;54.2475936609883;-13.44
12.0717877741486;54.2480423920594;-13.48
12.0718211458461;54.2484911230829;-13.32
12.0718545184562;54.2489398540587;-13.2
12.0718878919789;54.2493885849869;-13.12
12.0719212664143;54.2498373158675;-13.07
12.0719546417623;54.2502860467005;-12.95
12.0719880180231;54.2507347774858;-12.77
12.0720213951966;54.2511835082235;-12.66
12.0720547732829;54.2516322389136;-12.77
12.072088152282;54.252080969556;-12.89
12.0721215321939;54.2525297001508;-12.75
12.0721549130188;54.2529784306979;-12.54
12.0721882947565;54.2534271611975;-12.45
12.0722216774072;54.2538758916494;-12.48
12.0722550609709;54.2543246220536;-12.62
12.0722884454476;54.2547733524103;-12.81
12.0723218308373;54.2552220827192;-12.69
12.0723552171401;54.2556708129806;-12.53
12.0723886043561;54.2561195431943;-12.42
12.0724219924852;54.2565682733604;-12.35
12.0724553815275;54.2570170034788;-12.25
12.072488771483;54.2574657335497;-12.18
12.0725221623517;54.2579144635728;-12.23
12.0725555541337;54.2583631935484;-12.28
12.0725889468291;54.2588119234763;-12.32
12.0726223404378;54.2592606533565;-12.36
12.0726557349599;54.2597093831891;-12.44
12.0726891303955;54.2601581129741;-12.57
12.0727225267444;54.2606068427114;-12.81
12.0727559240069;54.2610555724011;-13.01
12.0727893221829;54.2615043020432;-12.96
12.0728227212724;54.2619530316376;-12.76
12.0728561212756;54.2624017611844;-12.69
12.0728895221924;54.2628504906835;-12.76
12.0729229240228;54.263299220135;-13.11
12.0674243759777;54.1789177501743;-1.08
12.0674576157979;54.1793664882088;-1.32
12.0674908565257;54.1798152261957;-3.18
12.0675240981612;54.1802639641351;-2.73
12.0675573407044;54.1807127020269;-3.42
12.0675905841553;54.181161439871;-3.38
12.067623828514;54.1816101776676;-2.76
12.0676570737804;54.1820589154166;-3.89
12.0676903199547;54.182507653118;-4.54
12.0677235670369;54.1829563907719;-4.78
12.0677568150269;54.1834051283781;-5.19
12.0677900639249;54.1838538659368;-5.62
12.0678233137308;54.1843026034479;-5.86
12.0678565644447;54.1847513409113;-6.11
12.0678898160666;54.1852000783273;-6.2
12.0679230685966;54.1856488156956;-6.69
12.0679563220347;54.1860975530163;-6.83
12.0679895763809;54.1865462902894;-7
12.0680228316353;54.186995027515;-7.19
12.0680560877979;54.187443764693;-7.46
12.0680893448687;54.1878925018233;-7.28
12.0681226028478;54.1883412389061;-8
12.0681558617351;54.1887899759413;-7.97
12.0681891215308;54.1892387129289;-8.34
12.0682223822349;54.1896874498689;-8.59
12.0682556438473;54.1901361867614;-8.83
12.0682889063682;54.1905849236062;-8.84
12.0683221697975;54.1910336604034;-8.91
12.0683554341353;54.1914823971531;-8.93
12.0683886993817;54.1919311338551;-9.13
12.0684219655366;54.1923798705096;-9.56
12.0684552326002;54.1928286071164;-9.59
12.0684885005723;54.1932773436757;-9.6
12.0685217694531;54.1937260801874;-9.68
12.0685550392426;54.1941748166515;-9.84
12.0685883099409;54.194623553068;-9.78
12.0686215815479;54.1950722894369;-9.81
12.0686548540637;54.1955210257582;-9.89
12.0686881274883;54.1959697620319;-9.9
12.0687214018218;54.196418498258;-10
12.0687546770642;54.1968672344365;-10.17
12.0687879532156;54.1973159705674;-10.12
12.0688212302759;54.1977647066508;-10.33
12.0688545082452;54.1982134426865;-10.45
12.0688877871235;54.1986621786746;-10.66
12.0689210669109;54.1991109146151;-10.66
12.0689543476074;54.1995596505081;-10.5
12.068987629213;54.2000083863534;-10.41
12.0690209117278;54.2004571221511;-10.37
12.0690541951518;54.2009058579013;-10.44
12.0690874794851;54.2013545936038;-10.5
12.0691207647276;54.2018033292587;-10.5
12.0691540508794;54.2022520648661;-10.45
12.0691873379405;54.2027008004258;-10.42
12.069220625911;54.2031495359379;-10.52
12.0692539147909;54.2035982714025;-10.66
12.0692872045803;54.2040470068194;-10.88
12.0693204952791;54.2044957421887;-10.87
12.0693537868874;54.2049444775105;-11.01
12.0693870794052;54.2053932127846;-11.01
12.0694203728327;54.2058419480111;-11.18
12.0694536671697;54.20629068319;-11.24
12.0694869624164;54.2067394183213;-11.12
12.0695202585727;54.207188153405;-11.2
12.0695535556387;54.2076368884411;-11.14
12.0695868536145;54.2080856234296;-11.37
